이름,생년월일,휴대폰번호,연령,주민등록상 행정구역,지하철 이용횟수,버스 이용횟수,승차 Top1 행정동,승차 Top2 행정동,승차 Top3 행정동,하차 Top1 행정동,하차 Top2 행정동,하차 Top3 행정동,저소득층 여부,다자녀 여부,자녀수,이용요금,적립비율,적립금액,이용요금_올림,이용요금_내림,이용요금_반올림
김숙자,1951-10-03,055-296-5568,74,경기도 이천시 장호원읍,60,20,경기도 양주시 덕정동,서울특별시 성동구 행당동,경기도 이천시 마장면,경기도 화성시 정남면,경기도 남양주시 수동면,경기도 여주시 산북면,N,Y,3,210356,0.5,105178,210360.0,210350.0,210360
이도윤,1969-01-26,043-267-1147,56,경기도 남양주시 수석동,57,24,경기도 안성시 고삼면,경기도 포천시 소흘읍,경기도 파주시 법원읍,경기도 평택시 서탄면,서울특별시 강서구 공항동,경기도 광주시 도척면,Y,N,0,51011,0.53,27036,51020.0,51010.0,51010
손지혜,1965-09-11,063-610-5885,60,경기도 광명시 옥길동,55,18,경기도 용인시 처인구 이동읍,서울특별시 영등포구 영등포동8가,서울특별시 금천구 시흥동,경기도 하남시 항동,경기도 고양시 일산동구 장항동,경기도 이천시 장호원읍,N,N,0,210505,0.2,42101,210510.0,210500.0,210500
김정호,1966-11-12,054-387-5335,59,경기도 연천군 왕징면,59,16,경기도 안성시 금광면,경기도 화성시 향남읍,경기도 평택시 팽성읍,경기도 화성시 마도면,경기도 화성시 비봉면,경기도 남양주시 조안면,N,N,0,971951,0.2,194390,971960.0,971950.0,971950
양민석,2000-09-24,055-740-5215,25,경기도 구리시 사노동,58,26,경기도 안성시 서운면,경기도 시흥시 조남동,서울특별시 종로구 적선동,경기도 평택시 지산동,경기도 파주시 신촌동,경기도 여주시 강천면,N,Y,3,135718,0.5,67859,135720.0,135710.0,135720
류미정,1957-11-18,044-460-0278,68,경기도 여주시 단현동,51,26,서울특별시 서대문구 옥천동,경기도 광주시 초월읍,경기도 여주시 대신면,경기도 포천시 신북면,경기도 양평군 단월면,서울특별시 성북구 동소문동2가,N,N,0,245181,0.2,49036,245190.0,245180.0,245180
강예진,1993-10-03,055-179-0541,32,경기도 시흥시 과림동,58,18,경기도 시흥시 매화동,경기도 시흥시 조남동,경기도 용인시 처인구 백암면,서울특별시 양천구 목동,경기도 평택시 고덕동,서울특별시 강서구 방화동,N,N,0,292568,0.3,87770,292570.0,292560.0,292570
허상훈,1981-02-12,019-593-9142,44,경기도 평택시 고덕면,54,15,경기도 양평군 청운면,경기도 화성시 서신면,서울특별시 도봉구 쌍문동,경기도 여주시 대신면,경기도 성남시 중원구 여수동,경기도 광주시 송정동,N,N,0,50385,0.2,10077,50390.0,50380.0,50380
권명숙,1961-01-20,052-158-1461,64,서울특별시 강남구 율현동,57,20,서울특별시 종로구 신교동,경기도 이천시 장호원읍,경기도 여주시 가남읍,서울특별시 종로구 화동,경기도 화성시 정남면,경기도 고양시 일산동구 중산동,Y,N,0,11487,0.53,6088,11490.0,11480.0,11490
최준혁,1980-02-09,052-892-8581,45,경기도 시흥시 과림동,46,19,경기도 양평군 청운면,서울특별시 강남구 논현동,경기도 평택시 오성면,경기도 여주시 세종대왕면,경기도 안성시 양성면,경기도 고양시 덕양구 도내동,N,N,0,174071,0.2,34814,174080.0,174070.0,174070
한시우,2005-06-22,032-920-7690,20,경기도 파주시 장단면,53,24,경기도 여주시 대신면,경기도 광주시 곤지암읍,서울특별시 중구,서울특별시 금천구 시흥동,경기도 연천군 전곡읍,경기도 여주시 북내면,N,N,0,114429,0.3,34329,114430.0,114420.0,114430
최진우,1970-01-13,032-147-1190,55,경기도 하남시 하사창동,65,14,경기도 가평군 조종면,경기도 고양시 일산서구 덕이동,경기도 안산시 상록구 이동,경기도 이천시 사음동,서울특별시 용산구 신계동,경기도 김포시 양촌읍,N,Y,3,338784,0.5,169392,338790.0,338780.0,338780
서영숙,1984-06-21,061-103-7288,41,경기도 남양주시 수동면,58,13,경기도 안성시 보개면,경기도 성남시 분당구 백현동,경기도 양평군 개군면,경기도 포천시 창수면,경기도 안성시 대천동,경기도 남양주시 진접읍,N,Y,3,166940,0.5,83470,166940.0,166940.0,166940
오명숙,1959-08-16,019-301-5960,66,경기도 화성시 팔탄면,58,23,경기도 안양시 동안구 평촌동,경기도 안산시 단원구 선감동,경기도 파주시 적성면,경기도 양평군 단월면,경기도 안양시 동안구,경기도 포천시 영중면,N,Y,3,149676,0.5,74838,149680.0,149670.0,149680
이정호,1952-04-19,070-4607-3861,73,서울특별시 중구 산림동,62,19,경기도 양평군 양평읍,경기도 이천시 마장면,경기도 김포시 고촌읍,경기도 안성시 보개면,경기도 남양주시 와부읍,경기도 남양주시 화도읍,N,N,0,58820,0.2,11764,58820.0,58820.0,58820
김지훈,2003-09-20,070-1978-7553,22,경기도 의왕시,71,19,경기도 하남시 춘궁동,경기도 수원시 권선구 대황교동,서울특별시 영등포구 양평동4가,경기도 안산시 단원구 초지동,서울특별시 중구 예관동,경기도 고양시 덕양구 지축동,N,Y,3,191267,0.5,95634,191270.0,191260.0,191270
김영일,1980-04-03,055-897-6927,45,서울특별시 성북구 동선동2가,61,25,경기도 안성시 동본동,경기도 남양주시 별내면,경기도 여주시 대신면,경기도 안성시 양성면,경기도 남양주시 화도읍,경기도 여주시 대신면,N,N,0,17109,0.2,3422,17110.0,17100.0,17110
김예준,1993-07-09,043-164-7519,32,경기도 평택시 현덕면,57,23,경기도 화성시 남양읍,서울특별시 마포구 중동,경기도 안성시 서운면,경기도 용인시 처인구 포곡읍,경기도 화성시 송산면,경기도 양평군 강상면,N,Y,2,93283,0.3,27985,93290.0,93280.0,93280
진순옥,1976-09-06,044-113-3387,49,경기도 안성시 금광면,62,23,경기도 양평군 강상면,경기도 하남시 망월동,서울특별시 성북구 안암동4가,경기도 남양주시 화도읍,서울특별시 중구 주자동,경기도 평택시 팽성읍,N,N,0,582268,0.2,116454,582270.0,582260.0,582270
김순자,1973-02-02,053-686-5025,52,경기도 화성시 향남읍,47,19,경기도 안성시 성남동,경기도 이천시 마장면,경기도 양주시 남면,경기도 용인시 처인구 원삼면,서울특별시 중구 봉래동2가,경기도 양평군 서종면,N,N,0,11727,0.2,2345,11730.0,11720.0,11730
이성수,1983-09-23,062-572-4182,42,서울특별시 강남구 개포동,51,17,경기도 양주시 남방동,경기도 김포시 고촌읍,경기도 용인시 처인구 남사읍,경기도 가평군 가평읍,경기도 연천군 백학면,경기도 평택시,N,N,0,588752,0.2,117750,588760.0,588750.0,588750
김중수,1970-12-15,042-228-1353,55,서울특별시 중구 충무로5가,61,19,경기도 용인시 처인구 남사읍,서울특별시 영등포구 당산동4가,경기도 오산시 탑동,경기도 화성시 팔탄면,경기도 의정부시 장암동,경기도 연천군 백학면,N,N,0,129118,0.2,25824,129120.0,129110.0,129120
이영진,1989-01-10,016-885-1156,36,경기도 안양시 만안구 박달동,65,22,경기도 화성시 남양읍,경기도 평택시 서탄면,경기도 포천시 소흘읍,경기도 안성시 양성면,경기도 양평군 양서면,경기도 평택시 청북읍,Y,N,0,398844,0.53,211387,398850.0,398840.0,398840
이정남,1986-06-16,070-2807-3275,39,경기도 남양주시 별내면,60,14,경기도 용인시 처인구 남사읍,경기도 고양시 일산동구,서울특별시 강서구 방화동,경기도 남양주시 화도읍,경기도 화성시 기안동,경기도 화성시 양감면,N,Y,3,202303,0.5,101152,202310.0,202300.0,202300
황정희,1954-04-05,011-627-2545,71,서울특별시 종로구 내수동,50,28,경기도 화성시 황계동,서울특별시 종로구 관수동,경기도 고양시 덕양구 행주외동,경기도 파주시 진동면,경기도 연천군 신서면,경기도 군포시 부곡동,N,N,0,13997,0.2,2799,14000.0,13990.0,14000
김지원,1986-04-23,055-005-7931,39,경기도 화성시 양감면,55,19,경기도 파주시 동패동,경기도 평택시 안중읍,경기도 안성시 신소현동,경기도 안성시 서운면,경기도 김포시 월곶면,경기도 연천군 신서면,N,N,0,345127,0.2,69025,345130.0,345120.0,345130
손서영,2005-07-15,063-144-1566,20,경기도 평택시 현덕면,69,23,경기도 고양시 일산서구 덕이동,경기도 포천시 군내면,경기도 가평군 설악면,경기도 화성시 장안면,경기도 여주시 금사면,경기도 의정부시 민락동,N,Y,2,273138,0.3,81941,273140.0,273130.0,273140
주경수,1950-10-27,051-383-9499,75,경기도 김포시 고촌읍,55,17,서울특별시 중랑구 망우동,경기도 수원시 팔달구,경기도 파주시 파주읍,경기도 양주시 어둔동,경기도 평택시 현덕면,경기도 화성시 황계동,N,N,0,397632,0.2,79526,397640.0,397630.0,397630
전중수,2004-09-06,010-5118-6738,21,경기도 의왕시 월암동,63,11,경기도 부천시 원미구 도당동,경기도 파주시 조리읍,서울특별시 동작구 신대방동,경기도 평택시 현덕면,경기도 평택시 서탄면,경기도 연천군 전곡읍,N,Y,3,187775,0.5,93888,187780.0,187770.0,187780
최정웅,1986-11-04,041-836-7052,39,경기도 여주시 흥천면,49,22,경기도 안산시 단원구 선감동,경기도 여주시,경기도 오산시 오산동,경기도 이천시 모가면,경기도 연천군 연천읍,경기도 양평군 서종면,N,N,0,90950,0.2,18190,90950.0,90950.0,90950
이성훈,1996-08-02,051-019-8376,29,경기도 안성시 보개면,79,23,경기도 광주시 남종면,경기도 가평군 가평읍,경기도 포천시 일동면,경기도 오산시 외삼미동,서울특별시 강동구 상일동,경기도 안성시 양성면,Y,N,0,482397,0.53,255670,482400.0,482390.0,482400
강재현,1963-10-27,044-027-1538,62,경기도 화성시 서신면,51,18,경기도 화성시 장안면,경기도 파주시 적성면,경기도 이천시 호법면,경기도 안성시 보개면,경기도 평택시 현덕면,서울특별시 송파구 송파동,N,N,0,669532,0.2,133906,669540.0,669530.0,669530
최성현,1995-01-16,042-688-6834,30,경기도 오산시 궐동,77,19,경기도 화성시 장안면,경기도 여주시 세종대왕면,경기도 용인시 처인구 삼가동,경기도 수원시 팔달구 고등동,경기도 수원시 장안구 송죽동,경기도 가평군 상면,N,Y,3,251057,0.5,125528,251060.0,251050.0,251060
이경수,1977-01-14,062-512-1200,48,서울특별시 중구 남산동3가,46,19,경기도 가평군 가평읍,경기도 화성시 팔탄면,경기도 용인시 처인구 남사읍,경기도 평택시 청북읍,경기도 연천군 중면,경기도 화성시 정남면,Y,N,0,37592,0.53,19924,37600.0,37590.0,37590
남병철,1981-10-13,010-3743-0200,44,경기도 양평군 서종면,53,24,경기도 용인시 처인구 양지면,경기도 양평군 옥천면,서울특별시 동작구 동작동,서울특별시 용산구 한강로2가,경기도 양평군 청운면,경기도 포천시 창수면,N,N,0,60579,0.2,12116,60580.0,60570.0,60580
이옥순,1962-04-26,032-532-2330,63,경기도 포천시 어룡동,69,20,경기도 안성시 봉남동,경기도 여주시 점봉동,경기도 안산시 상록구 사사동,경기도 평택시 지산동,경기도 화성시 향남읍,경기도 오산시,N,N,0,286082,0.2,57216,286090.0,286080.0,286080
송영일,2004-11-23,054-308-8128,21,경기도 양평군 지평면,71,16,경기도 평택시 팽성읍,서울특별시 성북구 정릉동,경기도 여주시 대신면,경기도 이천시 백사면,경기도 여주시 산북면,경기도 평택시 포승읍,N,N,0,45140,0.3,13542,45140.0,45140.0,45140
김성수,1969-01-05,052-566-9624,56,경기도 고양시 덕양구 지축동,51,20,경기도 포천시 영중면,경기도 화성시,경기도 화성시 마도면,경기도 용인시 기흥구 구갈동,경기도 화성시 기안동,경기도 양주시 백석읍,N,N,0,58669,0.2,11734,58670.0,58660.0,58670
김서준,1982-10-22,011-013-3377,43,경기도 광주시 초월읍,59,20,경기도 부천시 원미구 중동,서울특별시 중랑구 묵동,경기도 성남시 분당구 삼평동,서울특별시 중구 의주로2가,경기도 고양시 일산서구 덕이동,경기도 여주시 세종대왕면,Y,N,0,14268,0.53,7562,14270.0,14260.0,14270
지진우,1953-10-16,070-6936-2655,72,경기도 용인시 처인구 고림동,62,31,경기도 양평군 용문면,경기도 고양시 일산동구 성석동,경기도 김포시 월곶면,서울특별시 송파구 송파동,경기도 연천군 중면,경기도 광명시 가학동,N,Y,3,181277,0.5,90638,181280.0,181270.0,181280
김준혁,1988-05-23,043-792-1437,37,경기도 이천시 율면,72,22,서울특별시 성동구 용답동,경기도 여주시 교동,경기도 화성시 남양읍,경기도 화성시 마도면,경기도 여주시 점동면,서울특별시 송파구,N,Y,2,97396,0.3,29219,97400.0,97390.0,97400
이정웅,1953-02-09,018-653-1276,72,경기도 평택시 안중읍,44,14,경기도 화성시 우정읍,경기도 광주시 남한산성면,경기도 이천시 증일동,경기도 광주시 남한산성면,경기도 안성시 죽산면,서울특별시 강남구 일원동,N,N,0,48418,0.2,9684,48420.0,48410.0,48420
김수진,1968-01-09,042-669-5043,57,서울특별시 서초구 내곡동,59,25,서울특별시 성북구 보문동7가,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 백암면,경기도 광명시 노온사동,경기도 안성시 숭인동,경기도 용인시 수지구 신봉동,N,N,0,142942,0.2,28588,142950.0,142940.0,142940
최성현,1972-06-20,033-483-6146,53,경기도 의정부시 장암동,68,20,경기도 연천군 백학면,경기도 안성시 일죽면,경기도 화성시 마도면,경기도 파주시 적성면,경기도 안성시 현수동,경기도 가평군 상면,N,N,0,148681,0.2,29736,148690.0,148680.0,148680
오지아,1982-04-07,054-597-6747,43,경기도 여주시 세종대왕면,59,24,경기도 파주시 적성면,서울특별시 용산구 용산동2가,서울특별시 중구 산림동,서울특별시 마포구 토정동,경기도 오산시 서랑동,서울특별시 영등포구 문래동6가,N,Y,2,39410,0.3,11823,39410.0,39410.0,39410
최성수,2002-05-08,02-8772-3675,23,경기도 평택시 안중읍,59,22,서울특별시 동대문구 제기동,경기도 안성시 보개면,경기도 연천군 신서면,경기도 화성시 우정읍,경기도 포천시 창수면,경기도 용인시 처인구 원삼면,N,N,0,5001,0.3,1500,5010.0,5000.0,5000
황상철,2005-01-14,02-9670-9411,20,경기도 양평군 청운면,51,17,서울특별시 성북구 정릉동,경기도 여주시 산북면,경기도 광주시 초월읍,경기도 이천시 관고동,경기도 안성시 서운면,경기도 안성시 금석동,Y,N,0,397116,0.53,210471,397120.0,397110.0,397120
이정웅,1988-05-11,053-915-0719,37,서울특별시 구로구 궁동,43,17,경기도 양평군 단월면,경기도 평택시 청북읍,서울특별시 성북구 동소문동4가,경기도 여주시 세종대왕면,서울특별시 관악구 신림동,경기도 양평군 강하면,N,N,0,32459,0.2,6492,32460.0,32450.0,32460
황영길,1992-12-21,042-906-8851,33,경기도 광명시 소하동,61,19,경기도 용인시 처인구 포곡읍,경기도 양주시 만송동,서울특별시 성북구 삼선동2가,경기도 포천시 일동면,경기도 안성시 보개면,서울특별시 종로구 궁정동,N,N,0,356158,0.3,106847,356160.0,356150.0,356160
민수진,2005-02-18,033-797-2566,20,경기도 광주시 곤지암읍,48,19,경기도 파주시 신촌동,서울특별시 중구 묵정동,경기도 김포시 양촌읍,경기도 광명시 철산동,경기도 화성시 비봉면,경기도 가평군 상면,N,N,0,120202,0.3,36061,120210.0,120200.0,120200
이정식,1953-06-01,064-736-8287,72,경기도 포천시 가산면,47,23,경기도 평택시 팽성읍,경기도 파주시 조리읍,경기도 부천시 원미구 중동,경기도 평택시 현덕면,경기도 가평군 가평읍,경기도 고양시 덕양구 효자동,N,N,0,195412,0.2,39082,195420.0,195410.0,195410
김지민,1984-01-24,031-211-5306,41,서울특별시 마포구 당인동,67,14,경기도 이천시 대월면,경기도 용인시 처인구 백암면,경기도 시흥시 은행동,경기도 안성시 죽산면,경기도 이천시 장호원읍,경기도 포천시 신북면,N,N,0,104873,0.2,20975,104880.0,104870.0,104870
김정남,1969-06-05,055-858-2190,56,서울특별시 용산구 보광동,65,22,경기도 수원시 팔달구 매산로1가,경기도 포천시 내촌면,경기도 부천시 원미구 심곡동,경기도 부천시 소사구 옥길동,경기도 화성시 마도면,서울특별시 도봉구,N,Y,3,227614,0.5,113807,227620.0,227610.0,227610
최정수,1988-02-16,031-279-1506,37,경기도 남양주시 진접읍,59,22,경기도 포천시 화현면,경기도 양주시 옥정동,서울특별시 성북구 동소문동1가,경기도 포천시 가산면,경기도 평택시 고덕면,서울특별시 구로구 고척동,N,N,0,59772,0.2,11954,59780.0,59770.0,59770
민건우,2004-06-18,033-808-8539,21,경기도 파주시 탄현면,62,18,경기도 파주시 적성면,서울특별시 성북구 보문동1가,경기도 화성시 송산면,서울특별시 중구 수표동,서울특별시 서대문구 창천동,경기도 여주시 강천면,Y,N,0,47756,0.53,25311,47760.0,47750.0,47760
안영진,1956-02-06,063-004-6256,69,경기도 안성시 봉남동,56,15,서울특별시 마포구 공덕동,경기도 안성시 미양면,서울특별시 용산구 용산동1가,서울특별시 용산구 청파동3가,서울특별시 종로구 행촌동,경기도 양주시 광적면,N,N,0,104887,0.2,20977,104890.0,104880.0,104890
홍준혁,1994-12-03,033-362-6650,31,경기도 평택시 유천동,56,20,경기도 화성시 남양읍,경기도 용인시 처인구 원삼면,경기도 파주시 동패동,경기도 화성시 향남읍,경기도 안성시 당왕동,경기도 포천시 영북면,N,Y,3,115622,0.5,57811,115630.0,115620.0,115620
김준혁,1954-08-12,053-746-1229,71,경기도 양평군 용문면,53,20,경기도 안산시 단원구 원곡동,경기도 광주시 양벌동,경기도 양평군 서종면,경기도 성남시 중원구 여수동,서울특별시 종로구 신영동,경기도 광주시 중대동,N,N,0,46303,0.2,9261,46310.0,46300.0,46300
서상현,1965-02-02,063-533-3741,60,경기도 파주시 조리읍,61,31,경기도 안성시 보개면,경기도 이천시 모가면,경기도 파주시 파주읍,경기도 수원시 장안구 하광교동,경기도 연천군 청산면,서울특별시 종로구 관수동,N,Y,2,397242,0.3,119173,397250.0,397240.0,397240
이현정,1959-07-24,041-456-0747,66,경기도 파주시 적성면,61,20,서울특별시 서대문구 충정로2가,서울특별시 중구 광희동2가,경기도 성남시 중원구 상대원동,서울특별시 강남구 압구정동,서울특별시 종로구 관훈동,경기도 양평군 옥천면,N,Y,2,79331,0.3,23799,79340.0,79330.0,79330
윤현정,1990-09-15,062-190-6652,35,경기도 용인시 처인구 백암면,67,20,서울특별시 용산구 용산동6가,서울특별시 종로구 교남동,경기도 안성시 미양면,서울특별시 동작구 동작동,경기도 안산시 단원구 고잔동,서울특별시 서대문구 홍제동,N,N,0,378590,0.2,75718,378590.0,378590.0,378590
김은경,1970-01-24,033-276-4849,55,경기도 수원시 팔달구 매향동,63,18,경기도 광주시 도척면,경기도 안성시 서운면,경기도 파주시 진동면,경기도 김포시 양촌읍,경기도 안성시 서인동,경기도 고양시 덕양구 대자동,Y,Y,2,109208,0.53,57880,109210.0,109200.0,109210
박준혁,1957-05-07,031-079-7912,68,경기도 고양시 일산서구 탄현동,67,24,경기도 여주시 가남읍,경기도 화성시 팔탄면,경기도 남양주시 일패동,서울특별시 성북구 성북동,경기도 의정부시 호원동,경기도 연천군 신서면,N,N,0,84790,0.2,16958,84790.0,84790.0,84790
김성수,1957-05-17,033-325-0419,68,경기도 수원시 장안구 영화동,67,22,경기도 가평군 설악면,서울특별시 마포구 성산동,경기도 여주시 세종대왕면,경기도 이천시 모가면,경기도 용인시 처인구 백암면,경기도 파주시 하지석동,N,N,0,357866,0.2,71573,357870.0,357860.0,357870
이현정,1994-02-17,031-710-2878,31,경기도 안성시 일죽면,65,24,경기도 이천시 고담동,경기도 성남시 수정구 고등동,경기도 안성시 죽산면,경기도 이천시 장호원읍,경기도 수원시 권선구 입북동,경기도 안성시 일죽면,N,N,0,47413,0.3,14224,47420.0,47410.0,47410
서채원,1965-06-22,063-297-7093,60,경기도 광주시 퇴촌면,61,26,경기도 김포시 통진읍,경기도 김포시 대곶면,경기도 화성시 우정읍,경기도 평택시 청북읍,경기도 포천시 설운동,경기도 화성시 우정읍,N,N,0,14963,0.2,2993,14970.0,14960.0,14960
강영호,1985-02-02,062-049-1006,40,경기도 군포시 도마교동,67,18,서울특별시 중구 의주로2가,경기도 화성시 서신면,경기도 양평군 양평읍,경기도 이천시 단월동,경기도 의왕시 포일동,경기도 여주시 흥천면,N,N,0,51995,0.2,10399,52000.0,51990.0,52000
김주원,1969-06-15,054-615-0332,56,서울특별시 은평구 신사동,63,28,경기도 용인시 처인구 남사읍,경기도 포천시 군내면,경기도 광명시 노온사동,경기도 고양시 덕양구 원당동,경기도 안성시 아양동,경기도 안산시 단원구 초지동,N,N,0,3206,0.2,641,3210.0,3200.0,3210
김영호,1950-07-01,070-7581-9431,75,서울특별시 송파구 가락동,72,18,경기도 이천시 백사면,경기도 양평군 양서면,경기도 양평군 강하면,경기도 용인시 처인구 마평동,경기도 김포시 하성면,경기도 평택시 안중읍,N,N,0,111672,0.2,22334,111680.0,111670.0,111670
강영철,1951-06-09,052-433-9639,74,서울특별시 중구 무교동,77,12,경기도 양평군 용문면,서울특별시 종로구 명륜4가,서울특별시 종로구 통의동,경기도 오산시 원동,경기도 파주시 법원읍,서울특별시 성동구 성수동1가,N,N,0,208664,0.2,41733,208670.0,208660.0,208660
서경숙,1976-11-13,041-418-5966,49,경기도 용인시 처인구 유방동,67,17,경기도 수원시 권선구 장지동,경기도 여주시 점동면,경기도 평택시 장안동,경기도 포천시 영북면,경기도 용인시 처인구 백암면,경기도 가평군 설악면,N,Y,3,84688,0.5,42344,84690.0,84680.0,84690
박영길,1967-10-23,070-2006-6579,58,서울특별시 용산구 용문동,68,16,경기도 연천군 연천읍,경기도 용인시 처인구 모현읍,서울특별시 광진구 화양동,경기도 평택시 안중읍,경기도 화성시 팔탄면,경기도 여주시 산북면,N,N,0,643335,0.2,128667,643340.0,643330.0,643340
박준호,1971-04-10,017-042-8777,54,경기도 고양시 덕양구 대자동,71,19,경기도 과천시 갈현동,경기도 파주시 조리읍,경기도 고양시 일산동구,경기도 평택시 고덕면,경기도 이천시 장록동,경기도 이천시 호법면,N,Y,3,15655,0.5,7828,15660.0,15650.0,15660
김영호,1963-10-08,042-385-2555,62,경기도 광주시 곤지암읍,64,17,경기도 여주시 북내면,서울특별시 서대문구 현저동,경기도 포천시 신북면,경기도 용인시 처인구 모현읍,경기도 안성시 삼죽면,서울특별시 용산구 청파동3가,N,N,0,38312,0.2,7662,38320.0,38310.0,38310
하예준,1961-05-13,055-570-8841,64,경기도 광주시 남종면,49,16,경기도 고양시 일산동구,경기도 양주시 광사동,경기도 연천군 왕징면,경기도 파주시 적성면,경기도 고양시 덕양구 오금동,경기도 광주시 목현동,N,N,0,67620,0.2,13524,67620.0,67620.0,67620
송예준,1961-05-14,055-438-0790,64,경기도 포천시 신북면,53,18,경기도 평택시 안중읍,경기도 화성시 신동,서울특별시 강서구 방화동,경기도 광주시 남종면,서울특별시 마포구 신수동,경기도 화성시 서신면,N,N,0,49146,0.2,9829,49150.0,49140.0,49150
구미정,1956-09-10,011-669-1768,69,서울특별시 구로구 신도림동,74,25,서울특별시 은평구,경기도 양평군 청운면,경기도 화성시 남양읍,경기도 용인시 수지구,경기도 용인시 처인구 모현읍,경기도 의왕시 초평동,N,N,0,50681,0.2,10136,50690.0,50680.0,50680
이상호,1962-08-09,032-640-1915,63,경기도 파주시 군내면,59,13,서울특별시 중구 회현동2가,경기도 성남시 분당구 수내동,경기도 양평군 옥천면,경기도 의왕시 포일동,경기도 안산시 단원구 대부북동,경기도 파주시 동패동,N,N,0,34880,0.2,6976,34880.0,34880.0,34880
장광수,1968-08-22,054-817-8660,57,경기도 용인시 처인구 이동읍,61,27,경기도 화성시 향남읍,경기도 김포시 통진읍,경기도 평택시 비전동,서울특별시 종로구 내수동,경기도 양평군 지평면,경기도 여주시 강천면,N,N,0,149526,0.2,29905,149530.0,149520.0,149530
김지훈,1997-12-08,052-531-9850,28,경기도 광주시 곤지암읍,58,24,서울특별시 금천구 독산동,경기도 가평군 설악면,경기도 이천시 모가면,경기도 여주시 북내면,서울특별시 강서구 화곡동,경기도 여주시 신진동,Y,N,0,243566,0.53,129090,243570.0,243560.0,243570
손예은,1975-07-08,011-579-2911,50,경기도 평택시 청북읍,57,19,경기도 연천군 연천읍,경기도 의왕시 고천동,경기도 화성시 서신면,경기도 고양시 덕양구 도내동,경기도 구리시 사노동,경기도 파주시 진동면,N,N,0,130715,0.2,26143,130720.0,130710.0,130720
이은주,2001-02-20,062-544-5832,24,서울특별시 중구 신당동,67,16,경기도 파주시 진서면,경기도 가평군 청평면,경기도 파주시 문산읍,경기도 의왕시 왕곡동,경기도 부천시 원미구 약대동,경기도 안성시 서운면,N,N,0,165296,0.3,49589,165300.0,165290.0,165300
황시우,1952-02-15,041-662-9391,73,경기도 여주시 가남읍,76,20,경기도 파주시 조리읍,경기도 여주시 산북면,경기도 김포시 대곶면,경기도 연천군 청산면,경기도 과천시 문원동,경기도 안성시 미양면,Y,N,0,73978,0.53,39208,73980.0,73970.0,73980
김성진,1951-04-25,053-586-3683,74,경기도 여주시 가남읍,45,21,경기도 포천시 일동면,경기도 가평군 청평면,경기도 용인시 처인구 모현읍,경기도 파주시 법원읍,서울특별시 중구 을지로2가,경기도 구리시 아천동,N,N,0,71293,0.2,14259,71300.0,71290.0,71290
이미정,2004-10-05,018-444-6668,21,경기도 파주시 장단면,64,26,경기도 안성시 미양면,경기도 용인시 처인구 백암면,경기도 양주시 남면,경기도 이천시 마장면,경기도 시흥시 하중동,경기도 포천시 관인면,N,N,0,377863,0.3,113359,377870.0,377860.0,377860
김성민,1962-09-21,061-051-4925,63,경기도 안양시 동안구 비산동,72,16,경기도 파주시 군내면,경기도 김포시 대곶면,경기도 남양주시 조안면,경기도 부천시 소사구 괴안동,경기도 이천시 율면,경기도 안성시 삼죽면,N,N,0,142909,0.2,28582,142910.0,142900.0,142910
이상훈,2002-04-13,055-667-5464,23,경기도 양평군 옥천면,60,25,경기도 광주시 퇴촌면,경기도 연천군 중면,경기도 화성시 비봉면,서울특별시 마포구 동교동,서울특별시 광진구,경기도 용인시 기흥구 언남동,N,Y,2,75143,0.3,22543,75150.0,75140.0,75140
박성수,1952-04-01,018-537-3765,73,경기도 과천시 중앙동,55,15,경기도 가평군 상면,경기도 양평군 개군면,경기도 안성시 보개면,경기도 포천시 소흘읍,서울특별시 마포구 창전동,경기도 광주시 퇴촌면,N,N,0,279447,0.2,55889,279450.0,279440.0,279450
김영숙,1979-01-14,053-673-6496,46,경기도 안성시 삼죽면,67,19,경기도 광주시 경안동,서울특별시 서대문구 홍은동,경기도 수원시 팔달구 우만동,경기도 남양주시 조안면,경기도 화성시 향남읍,경기도 여주시 금사면,N,N,0,131867,0.2,26373,131870.0,131860.0,131870
김준호,1951-02-24,031-916-2237,74,경기도 안성시 보개면,62,11,경기도 연천군 연천읍,경기도 광주시 목동,서울특별시 마포구 도화동,경기도 안성시 죽산면,경기도 안성시 보개면,경기도 이천시 호법면,N,N,0,12529,0.2,2506,12530.0,12520.0,12530
곽주원,1995-10-24,054-355-3380,30,경기도 평택시 청북읍,62,24,서울특별시 중구 명동2가,경기도 성남시 분당구 운중동,경기도 고양시 일산동구,서울특별시 구로구 항동,경기도 이천시 신둔면,경기도 시흥시 거모동,N,N,0,65906,0.3,19772,65910.0,65900.0,65910
최현준,1999-12-15,02-3683-9550,26,서울특별시 강서구 개화동,48,15,경기도 화성시 팔탄면,경기도 여주시 북내면,서울특별시 성동구 금호동4가,경기도 파주시 파주읍,경기도 여주시 점동면,경기도 고양시 덕양구,N,N,0,600815,0.3,180244,600820.0,600810.0,600820
한서윤,1961-03-14,033-783-3949,64,경기도 양평군 지평면,72,24,경기도 연천군 신서면,경기도 시흥시 월곶동,서울특별시 중구 을지로1가,경기도 남양주시 조안면,서울특별시 마포구,경기도 양평군 개군면,N,N,0,142141,0.2,28428,142150.0,142140.0,142140
