이름,생년월일,휴대폰번호,연령,주민등록상 행정구역,지하철 이용횟수,버스 이용횟수,승차 Top1 행정동,승차 Top2 행정동,승차 Top3 행정동,하차 Top1 행정동,하차 Top2 행정동,하차 Top3 행정동,저소득층 여부,다자녀 여부,자녀수,이용요금,적립비율,적립금액,휴대폰번호_마스킹
진아름,1983-10-18,054-477-0025,42,경기도 이천시 백사면,71,20,경기도 안성시 대덕면,경기도 안성시 일죽면,서울특별시 중구 의주로1가,경기도 양평군 서종면,경기도 안성시 공도읍,경기도 성남시 수정구 양지동,N,N,0,447518,0.2,89504,054-***-0025
강성수,1984-04-02,016-453-2722,41,경기도 남양주시 진접읍,73,29,서울특별시 종로구 신문로1가,경기도 구리시 토평동,경기도 양주시 광적면,경기도 평택시 죽백동,경기도 김포시 월곶면,경기도 평택시 고덕면,Y,N,0,77143,0.53,40886,016-***-2722
김혜진,1960-05-24,011-813-5754,65,서울특별시 강서구 가양동,62,20,경기도 양주시 은현면,경기도 김포시 월곶면,경기도 평택시 현덕면,경기도 파주시 문산읍,경기도 파주시 파주읍,서울특별시 중랑구 묵동,N,N,0,32675,0.2,6535,011-***-5754
이옥자,1974-08-18,053-592-9498,51,서울특별시 용산구 신창동,53,23,경기도 군포시 도마교동,경기도 광주시 곤지암읍,경기도 양평군 청운면,경기도 성남시 수정구 상적동,경기도 김포시 마산동,경기도 평택시 팽성읍,N,Y,2,91611,0.3,27483,053-***-9498
김명자,1977-07-02,032-633-3404,48,경기도 이천시 모가면,58,17,경기도 김포시 대곶면,경기도 수원시 권선구 평리동,경기도 이천시 모가면,경기도 양주시 삼숭동,서울특별시 금천구 시흥동,경기도 양주시 백석읍,N,N,0,74170,0.2,14834,032-***-3404
양정희,1986-09-11,032-976-4838,39,경기도 파주시 진동면,71,18,서울특별시 동작구 대방동,경기도 안성시 영동,경기도 여주시 가남읍,경기도 양평군 양평읍,서울특별시 종로구 체부동,경기도 안양시 동안구 호계동,N,N,0,204392,0.2,40878,032-***-4838
손춘자,1956-09-14,010-1628-7320,69,경기도 안성시 당왕동,43,27,경기도 여주시 가남읍,경기도 안성시 미양면,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 서신면,경기도 여주시 대신면,N,N,0,53295,0.2,10659,010-****-7320
이옥자,1996-04-14,041-263-5844,29,경기도 여주시 흥천면,64,18,서울특별시 영등포구 양평동6가,경기도 여주시 대신면,경기도 양평군 양평읍,경기도 여주시 점동면,경기도 남양주시 화도읍,서울특별시 서초구 염곡동,N,Y,2,1132,0.3,340,041-***-5844
이병철,1987-01-06,010-1792-2706,38,경기도 포천시 일동면,67,18,서울특별시 서대문구 합동,서울특별시 서대문구 충정로3가,경기도 평택시 월곡동,경기도 수원시 권선구 세류동,경기도 안성시 대천동,경기도 용인시,N,N,0,260952,0.2,52190,010-****-2706
박춘자,1991-12-09,051-414-2685,34,경기도 여주시 상동,68,12,서울특별시 중구 만리동1가,경기도 평택시 포승읍,경기도 용인시 기흥구 중동,경기도 남양주시 화도읍,경기도 동두천시 상봉암동,경기도 여주시 점동면,Y,N,0,132400,0.53,70172,051-***-2685
이영미,1991-01-02,062-929-9911,34,경기도 화성시 남양읍,58,17,경기도 화성시 배양동,경기도 안성시 동본동,경기도 광주시 곤지암읍,경기도 양주시 남면,경기도 연천군 전곡읍,경기도 광주시 곤지암읍,N,N,0,45047,0.3,13514,062-***-9911
송정희,1981-03-09,043-872-0944,44,경기도 안성시 서운면,54,21,경기도 연천군 군남면,경기도 양평군 지평면,서울특별시 중구 필동1가,경기도 포천시 영북면,경기도 양평군 양평읍,서울특별시 종로구 가회동,Y,Y,2,103684,0.53,54953,043-***-0944
김정숙,1986-12-12,064-709-8716,39,서울특별시 서초구 잠원동,69,21,경기도 수원시 팔달구 구천동,경기도 남양주시 별내면,경기도 이천시 장호원읍,경기도 양주시 은현면,경기도 파주시 파주읍,경기도 안성시 양성면,Y,N,0,115391,0.53,61157,064-***-8716
김진호,1997-03-08,051-919-2508,28,경기도 용인시 처인구 양지면,52,22,경기도 이천시 마장면,서울특별시 중구 방산동,경기도 안성시 대덕면,경기도 파주시 장단면,경기도 화성시 봉담읍,경기도 고양시 일산서구,Y,N,0,449210,0.53,238081,051-***-2508
김하윤,1972-01-15,02-6881-9486,53,경기도 파주시 진서면,63,15,경기도 여주시 금사면,서울특별시 영등포구 당산동,경기도 김포시 통진읍,경기도 화성시 양감면,경기도 연천군 중면,서울특별시 구로구 구로동,Y,N,0,3344,0.53,1772,02-6***-9486
이상훈,1957-01-25,051-822-2823,68,경기도 양평군 청운면,55,21,경기도 광주시 곤지암읍,경기도 남양주시 와부읍,경기도 화성시 마도면,경기도 김포시 월곶면,경기도 남양주시 진접읍,서울특별시 송파구,N,N,0,504020,0.2,100804,051-***-2823
윤상현,1997-02-27,043-215-6477,28,경기도 이천시 관고동,69,14,경기도 평택시 팽성읍,경기도 화성시 향남읍,서울특별시 용산구 한강로3가,경기도 여주시 북내면,서울특별시 성북구 하월곡동,경기도 이천시 장호원읍,N,N,0,6982,0.3,2095,043-***-6477
박은서,1951-07-03,011-306-6730,74,경기도 고양시 덕양구 내유동,82,11,서울특별시 중랑구 묵동,서울특별시 마포구 당인동,경기도 화성시 석우동,경기도 안성시 대덕면,경기도 파주시 탄현면,경기도 파주시 장단면,N,Y,3,824142,0.5,412071,011-***-6730
곽병철,1988-11-21,051-674-5852,37,경기도 안성시 보개면,63,19,경기도 안산시 단원구 선감동,경기도 평택시 평택동,경기도 동두천시 상패동,경기도 안성시 인지동,경기도 화성시 봉담읍,경기도 남양주시 와부읍,N,N,0,133769,0.2,26754,051-***-5852
김영호,1959-01-10,055-821-8791,66,경기도 안성시 영동,68,18,경기도 안성시 일죽면,경기도 의왕시 오전동,경기도 가평군 설악면,서울특별시 중구 인현동1가,경기도 이천시 부발읍,경기도 포천시 화현면,Y,N,0,110951,0.53,58804,055-***-8791
구영일,1960-05-05,031-028-5182,65,경기도 수원시 권선구 평리동,58,25,경기도 용인시 처인구 모현읍,경기도 양평군 옥천면,경기도 고양시 덕양구 행주외동,경기도 남양주시 진건읍,서울특별시 서대문구,경기도 양평군 양서면,Y,N,0,247855,0.53,131363,031-***-5182
손승민,1954-07-16,062-790-0782,71,서울특별시 강북구,52,18,경기도 여주시 우만동,경기도 이천시 백사면,경기도 이천시 마장면,경기도 화성시 향남읍,경기도 파주시 상지석동,서울특별시 중구 수표동,N,N,0,5316,0.2,1063,062-***-0782
김성민,1957-05-03,031-526-4602,68,경기도 의정부시 자일동,53,21,경기도 양평군 양서면,경기도 평택시 팽성읍,경기도 가평군,경기도 포천시 영중면,서울특별시 영등포구 양평동6가,경기도 광주시 곤지암읍,N,N,0,339700,0.2,67940,031-***-4602
김옥순,1972-03-27,064-782-2639,53,경기도 양평군 양서면,69,28,경기도 안성시 서운면,경기도 고양시 일산동구 설문동,경기도 평택시 포승읍,경기도 동두천시 동두천동,서울특별시 영등포구 문래동2가,경기도 광주시 회덕동,N,N,0,443838,0.2,88768,064-***-2639
이선영,1981-08-10,052-364-2622,44,경기도 평택시 팽성읍,62,15,경기도 부천시 오정구 오정동,경기도 화성시 정남면,경기도 시흥시 목감동,서울특별시 종로구 수송동,서울특별시 중구 의주로2가,경기도 연천군 전곡읍,N,N,0,12633,0.2,2527,052-***-2622
최예진,1984-03-12,044-568-4458,41,경기도 양주시 광사동,69,17,경기도 연천군 연천읍,경기도 용인시 처인구 마평동,서울특별시 용산구 이태원동,경기도 여주시 가남읍,경기도 파주시 군내면,서울특별시 마포구 신공덕동,N,Y,3,119988,0.5,59994,044-***-4458
백상호,1967-01-04,02-7201-8729,58,경기도 성남시 수정구 신흥동,60,24,경기도 안성시 성남동,서울특별시 종로구 가회동,경기도 이천시 백사면,서울특별시 강동구 천호동,경기도 수원시 영통구 영통동,서울특별시 강남구 일원동,N,N,0,84049,0.2,16810,02-7***-8729
서민석,1970-08-14,033-893-9858,55,경기도 고양시 덕양구 북한동,63,21,서울특별시 영등포구 당산동5가,경기도 안산시 상록구 월피동,서울특별시 강서구 과해동,경기도 광주시 남종면,서울특별시 강남구 도곡동,서울특별시 성동구 상왕십리동,N,N,0,254326,0.2,50865,033-***-9858
박정자,1976-02-05,042-375-3227,49,경기도 시흥시 군자동,57,16,서울특별시 중구 충무로3가,경기도 여주시 세종대왕면,경기도 평택시 진위면,서울특별시 은평구 신사동,경기도 화성시 팔탄면,경기도 파주시 파주읍,N,N,0,270932,0.2,54186,042-***-3227
안성호,1974-10-19,031-443-2441,51,경기도 안산시 단원구 고잔동,58,14,경기도 안성시 원곡면,경기도 포천시 영중면,경기도 이천시 모가면,경기도 화성시 기안동,경기도 화성시 정남면,경기도 여주시 산북면,N,N,0,170824,0.2,34165,031-***-2441
김정순,1982-02-16,063-408-5378,43,경기도 화성시 송산면,53,23,경기도 여주시 산북면,경기도 고양시 일산동구 사리현동,경기도 가평군 설악면,경기도 수원시 팔달구 팔달로3가,경기도 포천시 창수면,경기도 여주시 흥천면,N,N,0,320995,0.2,64199,063-***-5378
백예원,1976-01-07,052-687-1127,49,서울특별시 종로구 체부동,67,23,경기도 평택시 팽성읍,서울특별시 중구 주자동,서울특별시 용산구 한강로1가,경기도 화성시 남양읍,서울특별시 서초구 신원동,경기도 안산시 단원구 풍도동,N,N,0,208497,0.2,41699,052-***-1127
윤지영,1993-04-20,063-467-5637,32,경기도 양평군 양평읍,52,17,경기도 평택시 고덕면,경기도 평택시 팽성읍,서울특별시 마포구 창전동,경기도 광주시 도척면,경기도 포천시 신북면,경기도 여주시 흥천면,N,N,0,130489,0.3,39147,063-***-5637
장채원,1995-04-03,043-018-9717,30,경기도 양평군 옥천면,69,19,경기도 광주시 곤지암읍,경기도 용인시 처인구 포곡읍,경기도 광주시 곤지암읍,경기도 김포시 하성면,경기도 양평군 양평읍,서울특별시 은평구 대조동,N,N,0,157912,0.3,47374,043-***-9717
오정수,1966-01-21,016-935-7026,59,경기도 이천시 갈산동,50,20,경기도 군포시 부곡동,서울특별시 마포구 아현동,서울특별시 구로구 궁동,경기도 파주시 파주읍,서울특별시 성북구 보문동7가,서울특별시 성동구 금호동4가,Y,N,0,69828,0.53,37009,016-***-7026
양정식,1974-08-20,032-814-1052,51,경기도 양평군 단월면,62,16,경기도 하남시 당정동,경기도 화성시 남양읍,경기도 수원시 장안구 송죽동,경기도 화성시 향남읍,경기도 김포시 대곶면,경기도 파주시 법원읍,N,N,0,112829,0.2,22566,032-***-1052
전윤서,1962-06-22,062-077-7552,63,서울특별시 중구 회현동3가,67,28,경기도 연천군 신서면,경기도 이천시 부발읍,서울특별시 강북구 우이동,경기도 시흥시 금이동,서울특별시 중구 충무로4가,서울특별시 구로구 항동,Y,N,0,520324,0.53,275772,062-***-7552
김지민,1965-07-22,016-076-9566,60,경기도 안산시 단원구 원시동,62,12,경기도 용인시 처인구 이동읍,서울특별시 영등포구 영등포동6가,경기도 화성시 봉담읍,경기도 광주시 도척면,경기도 이천시 장호원읍,경기도 가평군 설악면,Y,N,0,261961,0.53,138839,016-***-9566
황상현,1981-07-17,02-4135-6219,44,경기도 안성시 죽산면,60,19,경기도 여주시 대신면,서울특별시 은평구,경기도 남양주시 별내면,경기도 평택시 청북읍,경기도 여주시 금사면,서울특별시 영등포구 당산동,N,N,0,47839,0.2,9568,02-4***-6219
윤진호,1958-07-18,010-6002-8407,67,경기도 화성시 향남읍,55,30,경기도 용인시 수지구 고기동,서울특별시 양천구,경기도 파주시 법원읍,경기도 포천시 가산면,경기도 고양시 일산동구 산황동,경기도 양평군 지평면,N,N,0,18244,0.2,3649,010-****-8407
장상현,1970-03-26,051-584-0302,55,경기도 안산시 상록구 일동,65,22,경기도 화성시 마도면,경기도 연천군 신서면,경기도 광주시 초월읍,경기도 남양주시 수동면,서울특별시 영등포구 문래동3가,경기도 포천시 창수면,N,N,0,13554,0.2,2711,051-***-0302
남승민,1990-06-17,019-440-3296,35,서울특별시 강북구 우이동,59,28,경기도 여주시 가남읍,경기도 이천시 장록동,서울특별시 강서구 공항동,경기도 광주시 초월읍,서울특별시 중구 남산동2가,경기도 연천군 미산면,N,N,0,362185,0.2,72437,019-***-3296
권주원,1962-09-25,061-403-1179,63,경기도 수원시 영통구,53,18,경기도 연천군 왕징면,경기도 연천군 백학면,경기도 용인시 처인구 이동읍,경기도 화성시 서신면,경기도 남양주시 화도읍,경기도 양평군 양평읍,N,N,0,342526,0.2,68505,061-***-1179
박종수,1995-11-09,032-486-5987,30,경기도 가평군 조종면,56,27,경기도 용인시 처인구 양지면,경기도 화성시 장안면,서울특별시 성북구 동선동5가,경기도 광주시 곤지암읍,경기도 안성시 일죽면,경기도 안성시 대덕면,N,N,0,73004,0.3,21901,032-***-5987
최정수,1994-05-18,02-1744-8115,31,경기도 양평군 양서면,63,23,경기도 여주시 점동면,경기도 양주시 율정동,서울특별시 성북구 동소문동7가,경기도 화성시 송산면,경기도 광주시 곤지암읍,경기도 파주시 신촌동,Y,N,0,2253,0.53,1194,02-1***-8115
안지연,1951-09-16,010-3742-7800,74,경기도 파주시 오도동,58,18,경기도 성남시 수정구 고등동,경기도 남양주시 오남읍,경기도 화성시 팔탄면,경기도 성남시 수정구 오야동,서울특별시 중구 남대문로1가,경기도 화성시,N,Y,2,105428,0.3,31628,010-****-7800
김현정,1956-02-16,053-640-6313,69,경기도 성남시 수정구 둔전동,52,14,서울특별시 종로구 재동,경기도 이천시 신둔면,경기도 평택시 현덕면,경기도 양평군 서종면,경기도 여주시 세종대왕면,경기도 용인시 처인구 백암면,N,N,0,77377,0.2,15475,053-***-6313
황정웅,1981-07-08,032-738-5783,44,경기도 평택시 서탄면,79,28,경기도 여주시 대신면,경기도 안성시 양성면,경기도 안성시 일죽면,경기도 화성시 팔탄면,경기도 가평군 가평읍,경기도 안성시 양성면,N,Y,2,25907,0.3,7772,032-***-5783
이영환,2000-03-12,031-141-8597,25,경기도 안성시 서운면,64,20,경기도 김포시 대곶면,경기도 용인시 처인구 호동,경기도 남양주시 별내면,경기도 가평군 설악면,경기도 안성시 고삼면,경기도 파주시 파주읍,N,N,0,41837,0.3,12551,031-***-8597
김영일,1964-05-19,042-571-4700,61,서울특별시 송파구 마천동,67,17,경기도 연천군 군남면,경기도 양주시 백석읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 이천시 모가면,경기도 화성시 서신면,N,N,0,174373,0.2,34875,042-***-4700
김지연,1961-01-10,016-876-6556,64,경기도 용인시 수지구 고기동,35,22,경기도 평택시 포승읍,경기도 수원시 권선구 오목천동,경기도 안성시 서운면,경기도 안성시 보개면,경기도 안성시 신소현동,경기도 연천군 백학면,N,Y,3,240479,0.5,120240,016-***-6556
오혜진,1997-02-20,032-602-7344,28,서울특별시 강동구 성내동,68,17,경기도 남양주시 진접읍,서울특별시 송파구 거여동,서울특별시 강북구 번동,경기도 화성시 새솔동,경기도 평택시 포승읍,경기도 안성시 공도읍,N,N,0,160651,0.3,48195,032-***-7344
김지후,1978-02-13,011-078-9343,47,서울특별시 성북구 동소문동4가,63,25,서울특별시 마포구,경기도 평택시 청룡동,경기도 양주시 은현면,서울특별시 종로구 혜화동,경기도 여주시 월송동,경기도 평택시 진위면,N,N,0,34668,0.2,6934,011-***-9343
이하은,2001-11-18,063-484-3834,24,경기도 양평군 개군면,63,17,경기도 양평군 강상면,서울특별시 노원구,경기도 가평군 설악면,경기도 파주시 진동면,경기도 안성시 봉남동,경기도 수원시 권선구 권선동,N,N,0,70972,0.3,21292,063-***-3834
한현지,1989-02-24,031-534-4511,36,경기도 파주시 장단면,58,22,서울특별시 중구 만리동1가,경기도 화성시 진안동,경기도 수원시 영통구 망포동,경기도 김포시 하성면,경기도 화성시 병점동,경기도 화성시 봉담읍,N,N,0,231371,0.2,46274,031-***-4511
박성호,1991-07-04,042-230-4509,34,경기도 가평군 상면,68,19,경기도 평택시 진위면,경기도 고양시 일산서구 가좌동,경기도 시흥시 무지내동,경기도 부천시 소사구 소사본동,경기도 하남시 당정동,서울특별시 성북구 종암동,Y,N,0,16321,0.53,8650,042-***-4509
류지아,1989-02-08,02-0248-8648,36,서울특별시 강북구 미아동,60,15,경기도 이천시 백사면,경기도 연천군 백학면,경기도 용인시 처인구 백암면,경기도 여주시 북내면,경기도 안성시 보개면,경기도 시흥시 광석동,N,Y,2,218115,0.3,65434,02-0***-8648
윤보람,1968-12-08,044-611-2768,57,서울특별시 마포구 노고산동,56,10,경기도 포천시 이동면,경기도 평택시 안중읍,경기도 연천군 백학면,경기도 광주시 곤지암읍,경기도 여주시 점동면,경기도 연천군 중면,N,N,0,365865,0.2,73173,044-***-2768
박영숙,1972-11-22,010-6027-0229,53,경기도 안산시 상록구 본오동,63,13,경기도 화성시 우정읍,경기도 안성시 금광면,경기도 여주시 우만동,경기도 평택시 진위면,경기도 김포시 대곶면,경기도 안성시 신건지동,N,N,0,298025,0.2,59605,010-****-0229
김경희,1988-05-09,017-842-0720,37,경기도 여주시 점동면,57,17,경기도 용인시 처인구 이동읍,경기도 평택시 팽성읍,경기도 용인시 처인구 모현읍,경기도 양주시 광사동,경기도 안성시 금광면,경기도 양평군 강하면,N,N,0,162545,0.2,32509,017-***-0720
박수민,1972-12-19,019-102-5934,53,경기도 화성시 정남면,64,16,경기도 화성시 매송면,경기도 연천군 중면,경기도 여주시 대신면,경기도 안성시 보개면,서울특별시 성북구 동소문동4가,경기도 화성시 청계동,N,N,0,426483,0.2,85297,019-***-5934
구경숙,1969-06-16,032-716-2664,56,경기도 안양시,64,20,경기도 안성시 미양면,경기도 광명시,경기도 이천시 백사면,서울특별시 성동구 홍익동,경기도 안성시 옥천동,경기도 이천시 송정동,N,N,0,11313,0.2,2263,032-***-2664
윤지원,1965-04-09,055-827-5219,60,경기도 포천시 신북면,59,22,경기도 수원시 영통구 이의동,경기도 광주시 곤지암읍,서울특별시 종로구 청운동,서울특별시 용산구 용산동5가,서울특별시 광진구 화양동,경기도 파주시 파평면,N,N,0,143623,0.2,28725,055-***-5219
정옥자,1975-10-27,044-795-6508,50,경기도 오산시 고현동,51,16,경기도 용인시 처인구 포곡읍,경기도 부천시 소사구 송내동,경기도 가평군 가평읍,경기도 가평군 가평읍,경기도 광주시 초월읍,경기도 광주시 능평동,N,Y,3,280679,0.5,140340,044-***-6508
오재호,1974-11-23,051-953-6598,51,경기도 광주시 초월읍,77,16,경기도 고양시 덕양구 벽제동,경기도 안양시 동안구,서울특별시 종로구 청진동,경기도 용인시 처인구 백암면,서울특별시 중구 인현동2가,경기도 고양시 덕양구 신평동,N,N,0,116290,0.2,23258,051-***-6598
김미영,1965-11-22,044-818-0296,60,경기도 양평군 강하면,69,18,경기도 이천시 부발읍,서울특별시 종로구 사간동,경기도 화성시 팔탄면,경기도 포천시 가산면,경기도 파주시 장단면,경기도 남양주시 조안면,Y,N,0,831088,0.53,440477,044-***-0296
김예은,1977-12-23,017-091-1014,48,경기도 화성시 정남면,71,23,경기도 성남시 분당구 대장동,서울특별시 종로구 공평동,경기도 화성시 우정읍,경기도 여주시 점동면,서울특별시 영등포구 문래동5가,서울특별시 용산구 갈월동,N,N,0,3494,0.2,699,017-***-1014
박지은,1972-02-23,033-105-9564,53,경기도 양평군 강하면,44,28,서울특별시 중구 봉래동1가,경기도 양평군 양동면,경기도 연천군 장남면,경기도 이천시 장호원읍,경기도 수원시 권선구 탑동,경기도 여주시 대신면,N,N,0,76477,0.2,15295,033-***-9564
강병철,1950-03-04,041-842-7740,75,서울특별시 중구 봉래동2가,55,18,경기도 포천시 내촌면,경기도 화성시 양감면,경기도 안성시 미양면,경기도 양평군 양동면,경기도 안성시,경기도 양주시 장흥면,N,N,0,423343,0.2,84669,041-***-7740
박선영,2003-12-10,043-053-6762,22,경기도 파주시 광탄면,53,13,경기도 시흥시 과림동,서울특별시 송파구 문정동,경기도 안산시 단원구 원시동,경기도 수원시 팔달구 우만동,경기도 수원시 팔달구 매교동,경기도 포천시 소흘읍,Y,N,0,35310,0.53,18714,043-***-6762
김수빈,1962-03-16,010-9919-8152,63,경기도 하남시 하사창동,74,25,경기도 수원시 장안구 파장동,경기도 성남시 수정구 태평동,경기도 광명시 옥길동,경기도 포천시 소흘읍,경기도 파주시 적성면,경기도 포천시 신북면,N,N,0,116502,0.2,23300,010-****-8152
이하윤,1977-04-20,062-728-7303,48,경기도 가평군 가평읍,52,17,경기도 김포시 통진읍,경기도 의왕시 월암동,경기도 안성시 삼죽면,서울특별시 종로구 중학동,경기도 양평군 강상면,경기도 안성시 고삼면,N,N,0,255754,0.2,51151,062-***-7303
박명자,1982-06-09,053-401-6028,43,경기도 파주시 법원읍,53,32,경기도 안성시 서운면,경기도 평택시 고덕면,경기도 의정부시 자일동,경기도 양주시 남면,경기도 이천시 설성면,경기도 안성시 서운면,N,N,0,131162,0.2,26232,053-***-6028
구혜진,1965-05-12,043-480-7626,60,경기도 고양시 덕양구 용두동,43,17,경기도 성남시 분당구 구미동,경기도 파주시 문산읍,경기도 화성시 양감면,경기도 파주시 장단면,경기도 시흥시 매화동,경기도 파주시 군내면,N,N,0,91230,0.2,18246,043-***-7626
서옥순,1954-10-20,054-295-3177,71,경기도 평택시 오성면,66,15,경기도 화성시 팔탄면,경기도 양평군 단월면,서울특별시 구로구 고척동,경기도 연천군 신서면,서울특별시 은평구 녹번동,경기도 여주시 창동,N,N,0,3877,0.2,775,054-***-3177
홍지훈,1991-02-16,031-353-4619,34,서울특별시 구로구 온수동,71,19,경기도 성남시 수정구 단대동,경기도 김포시 대곶면,경기도 파주시 탄현면,경기도 양평군 양동면,경기도 평택시 소사동,서울특별시 노원구 상계동,N,N,0,297867,0.3,89360,031-***-4619
최지영,1984-07-07,019-212-8373,41,서울특별시 광진구 자양동,57,17,경기도 포천시 군내면,경기도 파주시 조리읍,경기도 여주시 세종대왕면,경기도 화성시 서신면,경기도 평택시 현덕면,경기도 안성시 보개면,N,Y,2,236105,0.3,70832,019-***-8373
최준영,1975-06-02,032-861-4154,50,경기도 안성시 서운면,53,21,경기도 파주시 법원읍,경기도 화성시 서신면,서울특별시 종로구 도렴동,경기도 양주시 남면,경기도 부천시 원미구 춘의동,경기도 가평군 북면,N,N,0,457521,0.2,91504,032-***-4154
김윤서,1989-09-08,016-195-7674,36,경기도 안성시 고삼면,67,14,서울특별시 용산구 효창동,경기도 가평군 설악면,경기도 화성시 봉담읍,경기도 성남시 분당구 율동,경기도 양평군 강하면,경기도 부천시 원미구 소사동,N,Y,2,446491,0.3,133947,016-***-7674
하민서,1957-09-26,031-271-6038,68,경기도 가평군 북면,59,13,경기도 부천시 오정구 고강동,경기도 양평군 단월면,경기도 성남시 수정구 심곡동,경기도 군포시 대야미동,서울특별시 중구 남산동3가,경기도 화성시 송산동,N,N,0,362078,0.2,72416,031-***-6038
강민재,2003-05-02,070-7432-1126,22,경기도 평택시 서탄면,55,26,경기도 여주시 가남읍,경기도 김포시 장기동,서울특별시 동작구 대방동,경기도 평택시 고덕동,경기도 화성시 새솔동,경기도 파주시 적성면,Y,N,0,85267,0.53,45192,070-****-1126
최상현,1961-02-23,064-740-8394,64,서울특별시 중구 수표동,55,16,경기도 파주시 파평면,경기도 양평군 단월면,경기도 이천시 호법면,경기도 포천시 영북면,경기도 평택시 청북읍,경기도 포천시 이동면,N,N,0,106353,0.2,21271,064-***-8394
최정수,1996-08-23,042-523-8214,29,경기도 광주시 도척면,61,22,경기도 고양시 덕양구 고양동,경기도 양평군 서종면,경기도 남양주시 이패동,경기도 안양시 동안구 관양동,서울특별시 동작구 상도동,경기도 연천군 왕징면,Y,N,0,487475,0.53,258362,042-***-8214
이은경,2000-02-11,063-417-1543,25,경기도 수원시 팔달구 매교동,56,30,경기도 평택시 소사동,경기도 안양시,경기도 용인시 처인구 삼가동,서울특별시 노원구 월계동,경기도 가평군 가평읍,경기도 안산시 단원구 원시동,N,Y,2,30669,0.3,9201,063-***-1543
최재호,1958-10-16,010-2597-6089,67,경기도 안성시 미양면,61,22,서울특별시 서대문구 신촌동,경기도 양평군 옥천면,서울특별시 용산구 한강로1가,경기도 양평군 양서면,경기도 이천시 부발읍,경기도 포천시 가산면,N,N,0,4899,0.2,980,010-****-6089
이윤서,1971-08-14,051-870-0528,54,경기도 성남시 분당구 백현동,53,20,서울특별시 중랑구 묵동,경기도 화성시 기산동,경기도 안성시 금광면,경기도 이천시 율면,경기도 안산시 상록구 장상동,서울특별시 강남구 논현동,Y,N,0,196395,0.53,104089,051-***-0528
이민지,1956-11-11,033-282-6214,69,경기도 안성시 보개면,74,23,경기도 광주시 퇴촌면,경기도 동두천시 생연동,서울특별시 중랑구,경기도 연천군 군남면,경기도 연천군 전곡읍,경기도 성남시 분당구 야탑동,N,Y,2,76139,0.3,22842,033-***-6214
황도윤,1975-11-16,031-517-2191,50,경기도 수원시 권선구 서둔동,49,22,경기도 양주시 율정동,경기도 양평군 양평읍,경기도 성남시 분당구 분당동,경기도 연천군 미산면,경기도 고양시 덕양구 신원동,경기도 안성시 서운면,N,Y,3,41180,0.5,20590,031-***-2191
한명자,1994-10-17,052-521-3518,31,경기도 여주시 대신면,62,13,서울특별시 중구 충무로2가,경기도 용인시 처인구 포곡읍,서울특별시 송파구 송파동,경기도 화성시 송산면,경기도 연천군 백학면,경기도 여주시 북내면,N,N,0,103945,0.3,31184,052-***-3518
김순옥,1959-05-11,010-9619-0044,66,서울특별시 서대문구 신촌동,60,17,경기도 하남시 교산동,서울특별시 성북구 삼선동2가,경기도 안성시 성남동,경기도 성남시 분당구 삼평동,서울특별시 용산구 청파동1가,경기도 수원시 권선구 당수동,N,N,0,53016,0.2,10603,010-****-0044
허성수,1988-01-23,053-610-4855,37,경기도 의정부시 민락동,67,26,서울특별시 중구 을지로1가,경기도 양평군 옥천면,서울특별시 송파구 방이동,경기도 안성시 미양면,경기도 하남시 덕풍동,경기도 화성시 봉담읍,N,Y,3,60330,0.5,30165,053-***-4855
김영환,1971-08-26,052-188-4305,54,경기도 이천시 모가면,64,17,서울특별시 마포구 마포동,서울특별시 성북구 보문동4가,경기도 여주시 월송동,경기도 용인시 처인구 양지면,경기도 안성시 죽산면,경기도 고양시 덕양구 용두동,N,N,0,44171,0.2,8834,052-***-4305
김서영,1959-11-01,043-190-3741,66,경기도 안성시 동본동,66,15,경기도 성남시 분당구 분당동,경기도 광주시 초월읍,경기도 여주시 점동면,경기도 부천시 원미구 심곡동,경기도 고양시 덕양구 행주외동,경기도 평택시 팽성읍,N,N,0,272760,0.2,54552,043-***-3741
박현숙,1963-10-25,061-228-7856,62,서울특별시 영등포구 당산동4가,65,22,서울특별시 중구 광희동2가,경기도 가평군 조종면,경기도 평택시 현덕면,서울특별시 강남구 세곡동,경기도 광주시 곤지암읍,서울특별시 용산구 신창동,N,N,0,623097,0.2,124619,061-***-7856
김현우,1994-12-19,031-303-0874,31,서울특별시 성동구 마장동,52,14,경기도 안성시 금광면,경기도 여주시 가남읍,경기도 고양시 덕양구 선유동,경기도 파주시 법원읍,경기도 평택시 팽성읍,서울특별시 강동구 고덕동,N,N,0,192876,0.3,57863,031-***-0874
최지훈,1965-12-19,061-133-6782,60,경기도 고양시 일산서구 대화동,62,23,경기도 이천시 대월면,경기도 가평군 상면,서울특별시 구로구 가리봉동,서울특별시 서대문구 연희동,경기도 이천시 모가면,경기도 고양시 덕양구 화전동,N,N,0,154176,0.2,30835,061-***-6782
엄정호,1968-05-11,02-1247-8080,57,경기도 파주시 광탄면,68,18,경기도 평택시 팽성읍,경기도 포천시 가산면,경기도 화성시 정남면,경기도 화성시 봉담읍,경기도 남양주시 진건읍,경기도 평택시 청북읍,N,N,0,415246,0.2,83049,02-1***-8080
